Driver,GP,Tyres,From,To,#Laps,Year,
Antonio Giovinazzi,United States,Hard New,27,55,29,2021,
Lance Stroll,United States,Medium New,1,18,18,2021,
Lance Stroll,United States,Medium New,19,34,16,2021,
Lance Stroll,United States,Hard New,35,55,21,2021,
Kimi Räikkönen,United States,Medium New,1,12,12,2021,
Kimi Räikkönen,United States,Medium New,13,31,19,2021,
Kimi Räikkönen,United States,Hard New,32,55,24,2021,
George Russell,United States,Medium New,1,9,9,2021,
George Russell,United States,Hard New,10,31,22,2021,
George Russell,United States,Hard New,32,55,24,2021,
Nicholas Latifi,United States,Medium New,1,5,5,2021,
Nicholas Latifi,United States,Hard New,6,25,20,2021,
Nicholas Latifi,United States,Hard New,26,55,30,2021,
Yuki Tsunoda,United States,Hard New,33,55,23,2021,
Max Verstappen,Mexico,Medium Used,1,33,33,2021,
Max Verstappen,Mexico,Hard New,34,71,38,2021,
Lewis Hamilton,Mexico,Medium Used,1,29,29,2021,
Lewis Hamilton,Mexico,Hard New,30,71,42,2021,
Sergio Perez,Mexico,Medium Used,1,40,40,2021,
Sergio Perez,Mexico,Hard New,41,71,31,2021,
Pierre Gasly,Mexico,Medium Used,1,31,31,2021,
Pierre Gasly,Mexico,Hard New,32,71,40,2021,
Charles Leclerc,Mexico,Medium Used,1,30,30,2021,
Charles Leclerc,Mexico,Hard New,31,71,41,2021,
Carlos Sainz,Mexico,Medium Used,1,42,42,2021,
Carlos Sainz,Mexico,Hard New,43,70,28,2021,
Sebastian Vettel,Mexico,Medium Used,1,33,33,2021,
Sebastian Vettel,Mexico,Hard New,34,70,37,2021,
Kimi Räikkönen,Mexico,Medium Used,1,32,32,2021,
Kimi Räikkönen,Mexico,Hard New,33,70,38,2021,
Lando Norris,Mexico,Medium Used,1,44,44,2021,
Lando Norris,Mexico,Hard New,45,70,26,2021,
Antonio Giovinazzi,Mexico,Medium Used,1,16,16,2021,
Antonio Giovinazzi,Mexico,Hard New,17,70,54,2021,
Daniel Ricciardo,Mexico,Hard New,2,38,37,2021,
Daniel Ricciardo,Mexico,Medium Used,1,1,1,2021,
Daniel Ricciardo,Mexico,Medium Used,39,70,32,2021,
Esteban Ocon,Mexico,Soft New,1,14,14,2021,
Esteban Ocon,Mexico,Hard New,15,70,56,2021,
Lance Stroll,Mexico,Medium Used,1,12,12,2021,
Lance Stroll,Mexico,Hard New,13,34,22,2021,
Lance Stroll,Mexico,Medium Used,35,69,35,2021,
Valtteri Bottas,Mexico,Medium Used,1,1,1,2021,
Valtteri Bottas,Mexico,Medium New,41,63,23,2021,
Valtteri Bottas,Mexico,Soft Used,64,67,4,2021,
Valtteri Bottas,Mexico,Soft Used,68,69,2,2021,
Valtteri Bottas,Mexico,Hard New,2,40,39,2021,
George Russell,Mexico,Medium New,1,15,15,2021,
George Russell,Mexico,Hard New,16,69,54,2021,
Nicholas Latifi,Mexico,Medium New,1,11,11,2021,
Nicholas Latifi,Mexico,Hard New,12,49,38,2021,
Nikita Mazepin,Mexico,Medium New,1,13,13,2021,
Nikita Mazepin,Mexico,Hard New,14,58,45,2021,
Nikita Mazepin,Mexico,Medium Used,59,68,10,2021,
Mick Schumacher,Mexico,Medium New,1,1,1,2021,
Yuki Tsunoda,Mexico,Soft Used,1,1,1,2021,
Fernando Alonso,Mexico,Hard New,40,70,31,2021,
Nicholas Latifi,Mexico,Medium Used,50,69,20,2021,
Fernando Alonso,Mexico,Medium New,1,39,39,2021,
Lewis Hamilton,Brazil,Medium New,1,26,26,2021,
Lewis Hamilton,Brazil,Hard New,27,43,17,2021,
Lewis Hamilton,Brazil,Hard New,44,71,28,2021,
Max Verstappen,Brazil,Medium New,1,27,27,2021,
Max Verstappen,Brazil,Hard New,28,40,13,2021,
Max Verstappen,Brazil,Hard New,41,71,31,2021,
Valtteri Bottas,Brazil,Medium New,1,30,30,2021,
Valtteri Bottas,Brazil,Hard New,31,41,11,2021,
Valtteri Bottas,Brazil,Hard New,42,71,30,2021,
Sergio Perez,Brazil,Medium New,1,28,28,2021,
Sergio Perez,Brazil,Hard New,29,42,14,2021,
Sergio Perez,Brazil,Soft Used,70,71,2,2021,
Sergio Perez,Brazil,Hard New,43,69,27,2021,
Charles Leclerc,Brazil,Medium New,1,27,27,2021,
Charles Leclerc,Brazil,Medium New,28,52,25,2021,
Charles Leclerc,Brazil,Hard New,53,71,19,2021,
Carlos Sainz,Brazil,Medium New,1,26,26,2021,
Carlos Sainz,Brazil,Medium New,27,53,27,2021,
Carlos Sainz,Brazil,Hard New,54,71,18,2021,
Pierre Gasly,Brazil,Medium New,1,25,25,2021,
Pierre Gasly,Brazil,Hard New,52,70,19,2021,
Pierre Gasly,Brazil,Hard New,26,51,26,2021,
Esteban Ocon,Brazil,Medium New,1,30,30,2021,
Esteban Ocon,Brazil,Hard New,31,70,40,2021,
Lando Norris,Brazil,Medium New,1,1,1,2021,
Lando Norris,Brazil,Hard New,2,37,36,2021,
Lando Norris,Brazil,Hard New,38,70,33,2021,
Sebastian Vettel,Brazil,Medium Used,1,28,28,2021,
Sebastian Vettel,Brazil,Hard Used,29,55,27,2021,
Sebastian Vettel,Brazil,Medium Used,56,70,15,2021,
Kimi Räikkönen,Brazil,Medium New,1,28,28,2021,
Kimi Räikkönen,Brazil,Hard New,29,52,24,2021,
Kimi Räikkönen,Brazil,Medium New,53,70,18,2021,
George Russell,Brazil,Medium New,1,6,6,2021,
George Russell,Brazil,Hard New,7,41,35,2021,
George Russell,Brazil,Hard New,42,70,29,2021,
Antonio Giovinazzi,Brazil,Medium New,1,29,29,2021,
Antonio Giovinazzi,Brazil,Hard New,30,42,13,2021,
Antonio Giovinazzi,Brazil,Medium New,43,70,28,2021,
Yuki Tsunoda,Brazil,Soft Used,1,4,4,2021,
Yuki Tsunoda,Brazil,Hard New,5,39,35,2021,
Yuki Tsunoda,Brazil,Hard New,40,70,31,2021,
Nicholas Latifi,Brazil,Medium New,1,13,13,2021,
Nicholas Latifi,Brazil,Hard New,14,39,26,2021,
Nicholas Latifi,Brazil,Hard New,40,70,31,2021,
Nikita Mazepin,Brazil,Medium New,1,34,34,2021,
Mick Schumacher,Brazil,Medium New,1,11,11,2021,
Mick Schumacher,Brazil,Hard New,12,29,18,2021,
Mick Schumacher,Brazil,Medium New,30,61,32,2021,
Mick Schumacher,Brazil,Medium Used,62,69,8,2021,
Nikita Mazepin,Brazil,Hard New,35,69,35,2021,
Daniel Ricciardo,Brazil,Medium New,1,30,30,2021,
Daniel Ricciardo,Brazil,Hard New,31,49,19,2021,
Lance Stroll,Brazil,Medium Used,1,22,22,2021,
Lance Stroll,Brazil,Hard Used,23,47,25,2021,
Fernando Alonso,Brazil,Medium New,1,34,34,2021,
Fernando Alonso,Brazil,Hard New,35,70,36,2021,
Lewis Hamilton,Qatar,Medium Used,1,18,18,2021,
Lewis Hamilton,Qatar,Hard New,19,42,24,2021,
Lewis Hamilton,Qatar,Medium Used,43,57,15,2021,
Max Verstappen,Qatar,Medium Used,1,17,17,2021,
Max Verstappen,Qatar,Hard New,18,41,24,2021,
Max Verstappen,Qatar,Medium New,42,55,14,2021,
Max Verstappen,Qatar,Soft Used,56,57,2,2021,
Fernando Alonso,Qatar,Soft Used,1,23,23,2021,
Fernando Alonso,Qatar,Hard New,24,57,34,2021,
Sergio Perez,Qatar,Medium New,1,19,19,2021,
Sergio Perez,Qatar,Hard New,20,41,22,2021,
Sergio Perez,Qatar,Medium Used,42,57,16,2021,
Esteban Ocon,Qatar,Soft Used,1,24,24,2021,
Esteban Ocon,Qatar,Hard New,25,57,33,2021,
Lance Stroll,Qatar,Medium New,1,23,23,2021,
Lance Stroll,Qatar,Hard New,24,57,34,2021,
Carlos Sainz,Qatar,Medium Used,1,27,27,2021,
Carlos Sainz,Qatar,Hard New,28,57,30,2021,
Charles Leclerc,Qatar,Medium New,1,27,27,2021,
Charles Leclerc,Qatar,Hard New,28,57,30,2021,
Lando Norris,Qatar,Hard New,26,49,24,2021,
Lando Norris,Qatar,Soft Used,1,25,25,2021,
Lando Norris,Qatar,Medium New,50,56,7,2021,
Sebastian Vettel,Qatar,Soft Used,1,26,26,2021,
Sebastian Vettel,Qatar,Medium New,27,56,30,2021,
Pierre Gasly,Qatar,Soft Used,1,13,13,2021,
Pierre Gasly,Qatar,Medium Used,14,35,22,2021,
Pierre Gasly,Qatar,Medium Used,36,56,21,2021,
Daniel Ricciardo,Qatar,Medium New,1,26,26,2021,
Daniel Ricciardo,Qatar,Hard New,27,56,30,2021,
Yuki Tsunoda,Qatar,Soft Used,1,9,9,2021,
Yuki Tsunoda,Qatar,Medium New,10,34,25,2021,
Yuki Tsunoda,Qatar,Hard New,35,56,22,2021,
Kimi Räikkönen,Qatar,Soft New,1,10,10,2021,
Kimi Räikkönen,Qatar,Medium New,11,30,20,2021,
Kimi Räikkönen,Qatar,Hard New,31,56,26,2021,
Antonio Giovinazzi,Qatar,Soft New,1,15,15,2021,
Antonio Giovinazzi,Qatar,Medium New,16,32,17,2021,
Antonio Giovinazzi,Qatar,Medium New,33,56,24,2021,
Mick Schumacher,Qatar,Soft Used,1,22,22,2021,
George Russell,Qatar,Soft New,1,17,17,2021,
George Russell,Qatar,Hard New,18,49,32,2021,
George Russell,Qatar,Soft Used,50,55,6,2021,
Nikita Mazepin,Qatar,Medium New,1,31,31,2021,
Nikita Mazepin,Qatar,Soft Used,32,55,24,2021,
Nicholas Latifi,Qatar,Soft New,1,18,18,2021,
Nicholas Latifi,Qatar,Hard New,19,50,32,2021,
Valtteri Bottas,Qatar,Medium Used,1,33,33,2021,
Valtteri Bottas,Qatar,Hard New,34,48,15,2021,
Mick Schumacher,Qatar,Medium Used,23,56,34,2021,
Lewis Hamilton,Saudi Arabia,Medium Used,1,10,10,2021,
Lewis Hamilton,Saudi Arabia,Hard New,11,50,40,2021,
Max Verstappen,Saudi Arabia,Medium Used,1,13,13,2021,
Max Verstappen,Saudi Arabia,Hard New,14,15,2,2021,
Max Verstappen,Saudi Arabia,Medium New,16,50,35,2021,
Valtteri Bottas,Saudi Arabia,Medium Used,1,10,10,2021,
Valtteri Bottas,Saudi Arabia,Hard New,11,15,5,2021,
Valtteri Bottas,Saudi Arabia,Medium Used,16,50,35,2021,
Esteban Ocon,Saudi Arabia,Medium Used,1,13,13,2021,
Esteban Ocon,Saudi Arabia,Hard New,14,50,37,2021,
Daniel Ricciardo,Saudi Arabia,Hard New,1,13,13,2021,
Daniel Ricciardo,Saudi Arabia,Medium New,14,50,37,2021,
Pierre Gasly,Saudi Arabia,Medium Used,1,13,13,2021,
Pierre Gasly,Saudi Arabia,Hard New,14,50,37,2021,
Charles Leclerc,Saudi Arabia,Medium Used,1,10,10,2021,
Charles Leclerc,Saudi Arabia,Hard New,11,50,40,2021,
Carlos Sainz,Saudi Arabia,Hard New,1,13,13,2021,
Carlos Sainz,Saudi Arabia,Medium Used,14,50,37,2021,
Antonio Giovinazzi,Saudi Arabia,Medium Used,1,13,13,2021,
Antonio Giovinazzi,Saudi Arabia,Hard New,14,50,37,2021,
Lando Norris,Saudi Arabia,Soft Used,1,10,10,2021,
Lance Stroll,Saudi Arabia,Medium New,1,9,9,2021,
Lance Stroll,Saudi Arabia,Hard Used,10,15,6,2021,
Lance Stroll,Saudi Arabia,Medium Used,16,50,35,2021,
Nicholas Latifi,Saudi Arabia,Medium New,1,10,10,2021,
Nicholas Latifi,Saudi Arabia,Hard New,11,13,3,2021,
Nicholas Latifi,Saudi Arabia,Medium New,14,15,2,2021,
Nicholas Latifi,Saudi Arabia,Hard Used,16,50,35,2021,
Fernando Alonso,Saudi Arabia,Medium New,1,10,10,2021,
Fernando Alonso,Saudi Arabia,Hard New,11,44,34,2021,
Fernando Alonso,Saudi Arabia,Soft New,45,49,5,2021,
Yuki Tsunoda,Saudi Arabia,Medium Used,1,13,13,2021,
Yuki Tsunoda,Saudi Arabia,Hard New,14,15,2,2021,
Yuki Tsunoda,Saudi Arabia,Medium Used,16,23,8,2021,
Yuki Tsunoda,Saudi Arabia,Hard Used,24,49,26,2021,
Kimi Räikkönen,Saudi Arabia,Medium New,1,13,13,2021,
Kimi Räikkönen,Saudi Arabia,Hard New,14,26,13,2021,
Kimi Räikkönen,Saudi Arabia,Medium Used,27,49,23,2021,
Sebastian Vettel,Saudi Arabia,Hard Used,1,13,13,2021,
Sebastian Vettel,Saudi Arabia,Medium Used,14,15,2,2021,
Sebastian Vettel,Saudi Arabia,Medium Used,16,44,29,2021,
Sergio Perez,Saudi Arabia,Medium Used,1,10,10,2021,
Sergio Perez,Saudi Arabia,Hard New,11,13,3,2021,
Sergio Perez,Saudi Arabia,Medium New,14,14,1,2021,
Nikita Mazepin,Saudi Arabia,Medium New,1,13,13,2021,
Nikita Mazepin,Saudi Arabia,Hard New,14,14,1,2021,
George Russell,Saudi Arabia,Medium New,1,9,9,2021,
George Russell,Saudi Arabia,Hard New,10,14,5,2021,
Mick Schumacher,Saudi Arabia,Medium New,1,8,8,2021,
Lando Norris,Saudi Arabia,Hard New,11,50,40,2021,
Max Verstappen,Abu Dhabi,Soft Used,1,13,13,2021,
Max Verstappen,Abu Dhabi,Hard New,14,36,23,2021,
Max Verstappen,Abu Dhabi,Hard New,37,53,17,2021,
Max Verstappen,Abu Dhabi,Soft Used,54,58,5,2021,
Lewis Hamilton,Abu Dhabi,Medium Used,1,14,14,2021,
Carlos Sainz,Abu Dhabi,Hard New,20,58,39,2021,
Yuki Tsunoda,Abu Dhabi,Medium Used,1,23,23,2021,
Yuki Tsunoda,Abu Dhabi,Hard New,24,53,30,2021,
Yuki Tsunoda,Abu Dhabi,Soft Used,54,58,5,2021,
Pierre Gasly,Abu Dhabi,Hard New,1,36,36,2021,
Pierre Gasly,Abu Dhabi,Soft New,55,58,4,2021,
Valtteri Bottas,Abu Dhabi,Medium Used,1,30,30,2021,
Lando Norris,Abu Dhabi,Soft Used,1,17,17,2021,
Lando Norris,Abu Dhabi,Hard New,18,48,31,2021,
Lando Norris,Abu Dhabi,Medium New,49,58,10,2021,
Fernando Alonso,Abu Dhabi,Hard Used,1,36,36,2021,
Fernando Alonso,Abu Dhabi,Medium New,37,58,22,2021,
Esteban Ocon,Abu Dhabi,Soft Used,1,15,15,2021,
Charles Leclerc,Abu Dhabi,Soft Used,1,15,15,2021,
Charles Leclerc,Abu Dhabi,Hard New,16,35,20,2021,
Charles Leclerc,Abu Dhabi,Medium Used,36,58,23,2021,
Sebastian Vettel,Abu Dhabi,Medium New,1,23,23,2021,
Sebastian Vettel,Abu Dhabi,Hard New,24,58,35,2021,
Daniel Ricciardo,Abu Dhabi,Soft Used,1,18,18,2021,
Daniel Ricciardo,Abu Dhabi,Hard New,19,52,34,2021,
Daniel Ricciardo,Abu Dhabi,Soft Used,53,57,5,2021,
Lance Stroll,Abu Dhabi,Medium New,1,21,21,2021,
Lance Stroll,Abu Dhabi,Hard New,22,52,31,2021,
Lance Stroll,Abu Dhabi,Soft New,53,57,5,2021,
Mick Schumacher,Abu Dhabi,Soft New,1,10,10,2021,
Mick Schumacher,Abu Dhabi,Hard New,11,52,42,2021,
Mick Schumacher,Abu Dhabi,Soft Used,53,57,5,2021,
Sergio Perez,Abu Dhabi,Soft Used,1,21,21,2021,
Sergio Perez,Abu Dhabi,Hard New,22,36,15,2021,
Sergio Perez,Abu Dhabi,Hard New,37,53,17,2021,
Sergio Perez,Abu Dhabi,Soft Used,54,55,2,2021,
Nicholas Latifi,Abu Dhabi,Medium New,1,28,28,2021,
Nicholas Latifi,Abu Dhabi,Hard New,29,50,22,2021,
Antonio Giovinazzi,Abu Dhabi,Medium New,1,17,17,2021,
Antonio Giovinazzi,Abu Dhabi,Hard New,18,33,16,2021,
George Russell,Abu Dhabi,Medium New,1,26,26,2021,
Kimi Räikkönen,Abu Dhabi,Medium New,1,21,21,2021,
Kimi Räikkönen,Abu Dhabi,Hard New,22,25,4,2021,
Pierre Gasly,Abu Dhabi,Medium Used,37,54,18,2021,
Carlos Sainz,Abu Dhabi,Soft Used,1,19,19,2021,
Lewis Hamilton,Abu Dhabi,Hard Used,15,58,44,2021,
Valtteri Bottas,Abu Dhabi,Hard Used,31,58,28,2021,
Esteban Ocon,Abu Dhabi,Hard Used,16,58,43,2021,
Charles Leclerc,Bahrain,Soft New,1,15,15,2022,
Charles Leclerc,Bahrain,Soft Used,16,31,16,2022,
Charles Leclerc,Bahrain,Medium New,32,46,15,2022,
Charles Leclerc,Bahrain,Soft Used,47,57,11,2022,
Carlos Sainz,Bahrain,Soft Used,1,14,14,2022,
Carlos Sainz,Bahrain,Soft New,15,33,19,2022,
Carlos Sainz,Bahrain,Medium New,34,44,11,2022,
Carlos Sainz,Bahrain,Soft Used,45,57,13,2022,
Lewis Hamilton,Bahrain,Soft Used,1,11,11,2022,
Lewis Hamilton,Bahrain,Hard Used,12,27,16,2022,
Lewis Hamilton,Bahrain,Medium New,28,44,17,2022,
Lewis Hamilton,Bahrain,Soft Used,45,57,13,2022,
George Russell,Bahrain,Soft Used,1,15,15,2022,
George Russell,Bahrain,Hard Used,16,33,18,2022,
George Russell,Bahrain,Medium New,34,45,12,2022,
George Russell,Bahrain,Soft Used,46,57,12,2022,
Kevin Magnussen,Bahrain,Soft New,1,14,14,2022,
Kevin Magnussen,Bahrain,Soft Used,15,34,20,2022,
Kevin Magnussen,Bahrain,Medium New,35,46,12,2022,
Kevin Magnussen,Bahrain,Soft Used,47,57,11,2022,
Valtteri Bottas,Bahrain,Soft Used,1,14,14,2022,
Valtteri Bottas,Bahrain,Medium New,15,36,22,2022,
Valtteri Bottas,Bahrain,Medium New,37,45,9,2022,
Valtteri Bottas,Bahrain,Soft Used,46,57,12,2022,
Esteban Ocon,Bahrain,Soft Used,1,14,14,2022,
Esteban Ocon,Bahrain,Medium New,15,30,16,2022,
Esteban Ocon,Bahrain,Hard New,31,43,13,2022,
Esteban Ocon,Bahrain,Soft Used,44,57,14,2022,
Yuki Tsunoda,Bahrain,Soft New,1,15,15,2022,
Yuki Tsunoda,Bahrain,Medium New,16,29,14,2022,
Yuki Tsunoda,Bahrain,Soft New,30,44,15,2022,
Yuki Tsunoda,Bahrain,Soft Used,45,57,13,2022,
Fernando Alonso,Bahrain,Soft Used,1,11,11,2022,
Fernando Alonso,Bahrain,Medium New,12,25,14,2022,
Fernando Alonso,Bahrain,Hard New,26,42,17,2022,
Zhou Guanyu,Bahrain,Soft New,1,15,15,2022,
Zhou Guanyu,Bahrain,Medium New,16,37,22,2022,
Zhou Guanyu,Bahrain,Medium New,38,45,8,2022,
Zhou Guanyu,Bahrain,Soft Used,46,57,12,2022,
Mick Schumacher,Bahrain,Soft New,1,12,12,2022,
Mick Schumacher,Bahrain,Medium New,13,35,23,2022,
Mick Schumacher,Bahrain,Soft Used,36,57,22,2022,
Lance Stroll,Bahrain,Soft New,1,18,18,2022,
Lance Stroll,Bahrain,Soft New,19,38,20,2022,
Lance Stroll,Bahrain,Medium New,39,45,7,2022,
Lance Stroll,Bahrain,Soft New,46,57,12,2022,
Alexander Albon,Bahrain,Soft New,1,13,13,2022,
Alexander Albon,Bahrain,Medium New,14,35,22,2022,
Alexander Albon,Bahrain,Medium Used,36,46,11,2022,
Alexander Albon,Bahrain,Soft Used,47,57,11,2022,
Daniel Ricciardo,Bahrain,Medium New,1,17,17,2022,
Daniel Ricciardo,Bahrain,Soft New,18,33,16,2022,
Daniel Ricciardo,Bahrain,Hard New,34,44,11,2022,
Daniel Ricciardo,Bahrain,Soft New,45,57,13,2022,
Lando Norris,Bahrain,Medium New,1,24,24,2022,
Lando Norris,Bahrain,Hard New,25,41,17,2022,
Lando Norris,Bahrain,Soft New,42,45,4,2022,
Lando Norris,Bahrain,Soft Used,46,57,12,2022,
Nicholas Latifi,Bahrain,Soft New,1,14,14,2022,
Nicholas Latifi,Bahrain,Soft New,15,32,18,2022,
Nicholas Latifi,Bahrain,Medium New,33,45,13,2022,
Nicholas Latifi,Bahrain,Soft Used,46,57,12,2022,
Sergio Perez,Bahrain,Soft Used,1,15,15,2022,
Sergio Perez,Bahrain,Medium New,16,33,18,2022,
Sergio Perez,Bahrain,Soft Used,34,43,10,2022,
Sergio Perez,Bahrain,Soft Used,44,56,13,2022,
Max Verstappen,Bahrain,Soft Used,1,14,14,2022,
Max Verstappen,Bahrain,Soft New,15,30,16,2022,
Max Verstappen,Bahrain,Medium New,31,43,13,2022,
Pierre Gasly,Bahrain,Medium New,15,32,18,2022,
Pierre Gasly,Bahrain,Hard New,33,44,12,2022,
Fernando Alonso,Bahrain,Soft Used,43,57,15,2022,
Pierre Gasly,Bahrain,Soft Used,1,14,14,2022,
Max Verstappen,Bahrain,Soft Used,44,54,11,2022,
Nico Hulkenberg,Bahrain,Soft New,1,19,19,2022,
Nico Hulkenberg,Bahrain,Soft New,20,37,18,2022,
Nico Hulkenberg,Bahrain,Medium New,38,44,7,2022,
Nico Hulkenberg,Bahrain,Soft New,45,57,13,2022,
Max Verstappen,Saudi Arabia,Medium New,1,16,16,2022,
Max Verstappen,Saudi Arabia,Hard New,17,50,34,2022,
Charles Leclerc,Saudi Arabia,Medium New,1,16,16,2022,
Carlos Sainz,Saudi Arabia,Medium New,1,16,16,2022,
Carlos Sainz,Saudi Arabia,Hard New,17,50,34,2022,
Sergio Perez,Saudi Arabia,Medium New,1,15,15,2022,
Sergio Perez,Saudi Arabia,Hard New,16,50,35,2022,
George Russell,Saudi Arabia,Medium New,1,16,16,2022,
George Russell,Saudi Arabia,Hard New,17,50,34,2022,
Esteban Ocon,Saudi Arabia,Medium New,1,16,16,2022,
Esteban Ocon,Saudi Arabia,Hard New,17,50,34,2022,
Lando Norris,Saudi Arabia,Medium New,1,16,16,2022,
Lando Norris,Saudi Arabia,Hard New,17,50,34,2022,
Pierre Gasly,Saudi Arabia,Medium New,1,15,15,2022,
Pierre Gasly,Saudi Arabia,Hard New,16,50,35,2022,
Kevin Magnussen,Saudi Arabia,Hard Used,1,37,37,2022,
Kevin Magnussen,Saudi Arabia,Medium Used,38,50,13,2022,
Lewis Hamilton,Saudi Arabia,Hard Used,1,40,40,2022,
Lewis Hamilton,Saudi Arabia,Medium New,41,50,10,2022,
Zhou Guanyu,Saudi Arabia,Medium New,1,16,16,2022,
Zhou Guanyu,Saudi Arabia,Hard New,17,50,34,2022,
Nico Hulkenberg,Saudi Arabia,Hard Used,1,37,37,2022,
Nico Hulkenberg,Saudi Arabia,Medium Used,38,50,13,2022,
Lance Stroll,Saudi Arabia,Medium Used,1,13,13,2022,
Lance Stroll,Saudi Arabia,Hard New,14,49,36,2022,
Alexander Albon,Saudi Arabia,Medium New,1,13,13,2022,
Alexander Albon,Saudi Arabia,Hard New,14,47,34,2022,
Valtteri Bottas,Saudi Arabia,Medium New,1,16,16,2022,
Valtteri Bottas,Saudi Arabia,Medium New,36,36,1,2022,
Fernando Alonso,Saudi Arabia,Medium New,1,16,16,2022,
Fernando Alonso,Saudi Arabia,Hard New,17,35,19,2022,
Daniel Ricciardo,Saudi Arabia,Medium New,1,8,8,2022,
Daniel Ricciardo,Saudi Arabia,Hard New,9,35,27,2022,
Nicholas Latifi,Saudi Arabia,Medium New,1,14,14,2022,
Valtteri Bottas,Saudi Arabia,Hard New,17,35,19,2022,
Charles Leclerc,Saudi Arabia,Hard New,17,50,34,2022,
Charles Leclerc,Australia,Medium New,1,22,22,2022,
Charles Leclerc,Australia,Hard New,23,58,36,2022,
Sergio Perez,Australia,Medium New,1,20,20,2022,
Sergio Perez,Australia,Hard New,21,58,38,2022,
George Russell,Australia,Medium New,1,23,23,2022,
George Russell,Australia,Hard New,24,58,35,2022,
Lewis Hamilton,Australia,Medium New,1,22,22,2022,
Lewis Hamilton,Australia,Hard New,23,58,36,2022,
Lando Norris,Australia,Medium New,1,20,20,2022,
Lando Norris,Australia,Hard New,21,58,38,2022,
Daniel Ricciardo,Australia,Medium New,1,21,21,2022,
Daniel Ricciardo,Australia,Hard New,22,58,37,2022,
Esteban Ocon,Australia,Medium New,1,17,17,2022,
Esteban Ocon,Australia,Hard New,18,58,41,2022,
Valtteri Bottas,Australia,Medium New,1,22,22,2022,
Valtteri Bottas,Australia,Hard New,23,58,36,2022,
Pierre Gasly,Australia,Medium New,1,21,21,2022,
Pierre Gasly,Australia,Hard New,22,58,37,2022,
Alexander Albon,Australia,Hard New,1,57,57,2022,
Alexander Albon,Australia,Soft Used,58,58,1,2022,
Zhou Guanyu,Australia,Medium New,1,21,21,2022,
Zhou Guanyu,Australia,Hard New,22,58,37,2022,
Lance Stroll,Australia,Hard Used,1,3,3,2022,
Lance Stroll,Australia,Medium Used,4,4,1,2022,
Lance Stroll,Australia,Hard Used,5,23,19,2022,
Lance Stroll,Australia,Hard Used,24,58,35,2022,
Mick Schumacher,Australia,Medium Used,1,14,14,2022,
Mick Schumacher,Australia,Hard New,15,57,43,2022,
Kevin Magnussen,Australia,Hard New,1,39,39,2022,
Kevin Magnussen,Australia,Medium Used,40,57,18,2022,
Yuki Tsunoda,Australia,Medium New,1,18,18,2022,
Yuki Tsunoda,Australia,Hard New,19,57,39,2022,
Nicholas Latifi,Australia,Medium New,1,13,13,2022,
Nicholas Latifi,Australia,Hard Used,14,23,10,2022,
Nicholas Latifi,Australia,Hard New,24,57,34,2022,
Fernando Alonso,Australia,Hard New,1,39,39,2022,
Fernando Alonso,Australia,Medium New,40,53,14,2022,
Fernando Alonso,Australia,Medium New,54,57,4,2022,
Max Verstappen,Australia,Medium New,1,18,18,2022,
Max Verstappen,Australia,Hard New,19,38,20,2022,
Sebastian Vettel,Australia,Hard Used,1,22,22,2022,
Carlos Sainz,Australia,Hard Used,1,1,1,2022,
Max Verstappen,Italia,Intermediate New,1,19,19,2022,
Max Verstappen,Italia,Medium New,20,51,32,2022,
Max Verstappen,Italia,Soft New,52,63,12,2022,
Sergio Perez,Italia,Intermediate New,1,18,18,2022,
Sergio Perez,Italia,Medium New,19,50,32,2022,
Sergio Perez,Italia,Soft New,51,63,13,2022,
Lando Norris,Italia,Intermediate New,1,19,19,2022,
Lando Norris,Italia,Medium New,20,63,44,2022,
George Russell,Italia,Intermediate New,1,18,18,2022,
George Russell,Italia,Medium New,19,63,45,2022,
Valtteri Bottas,Italia,Medium New,19,63,45,2022,
Charles Leclerc,Italia,Intermediate New,1,19,19,2022,
Charles Leclerc,Italia,Medium New,20,49,30,2022,
Charles Leclerc,Italia,Soft New,50,53,4,2022,
Charles Leclerc,Italia,Soft Used,54,63,10,2022,
Yuki Tsunoda,Italia,Intermediate New,1,17,17,2022,
Yuki Tsunoda,Italia,Medium New,18,63,46,2022,
Sebastian Vettel,Italia,Intermediate New,1,17,17,2022,
Sebastian Vettel,Italia,Medium Used,18,63,46,2022,
Kevin Magnussen,Italia,Intermediate New,1,18,18,2022,
Kevin Magnussen,Italia,Medium Used,19,63,45,2022,
Lance Stroll,Italia,Intermediate New,1,18,18,2022,
Lance Stroll,Italia,Medium Used,19,62,44,2022,
Alexander Albon,Italia,Intermediate New,1,17,17,2022,
Alexander Albon,Italia,Medium New,18,62,45,2022,
Pierre Gasly,Italia,Intermediate New,1,17,17,2022,
Pierre Gasly,Italia,Medium New,18,62,45,2022,
Lewis Hamilton,Italia,Intermediate Used,1,18,18,2022,
Lewis Hamilton,Italia,Medium New,19,62,44,2022,
Esteban Ocon,Italia,Intermediate New,1,18,18,2022,
Esteban Ocon,Italia,Medium New,19,62,44,2022,
Zhou Guanyu,Italia,Intermediate New,1,18,18,2022,
Zhou Guanyu,Italia,Medium New,19,62,44,2022,
Nicholas Latifi,Italia,Intermediate New,1,18,18,2022,
Nicholas Latifi,Italia,Medium New,19,62,44,2022,
Mick Schumacher,Italia,Intermediate New,1,18,18,2022,
